number,title,arc,series,japanese_air_date,english_air_date,filler_status,characters
36,The Graduation Exam Begins!,Graduation Exams Arc,Boruto,"December 06, 2017","June 23, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Chōchō Akimichi', 'Inojin Yamanaka', 'Metal Lee', 'Iwabee Yuino', 'Denki Kaminarimon', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Kakashi Hatake', 'Shino Aburame', 'Anko Mitarashi', 'Konohamaru Sarutobi', 'Enko Onikuma', 'Dōshu Goetsu', 'Tsuru Itoi', 'Hōki Taketori', 'Hako Kuroi', 'Renga Kokubō']"
37,A Shinobi's Resolve,Graduation Exams Arc,Boruto,"December 13, 2017","June 30, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Chōchō Akimichi', 'Inojin Yamanaka', 'Metal Lee', 'Iwabee Yuino', 'Denki Kaminarimon', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Kakashi Hatake', 'Shino Aburame', 'Anko Mitarashi', 'Konohamaru Sarutobi', 'Iruka Umino', 'Sukea', 'Enko Onikuma', 'Dōshu Goetsu', 'Tsuru Itoi', 'Renga Kokubō']"
38,Formation of the Three-Man Squad?,,Boruto,"December 20, 2017","July 07, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Chōchō Akimichi', 'Inojin Yamanaka', 'Metal Lee', 'Iwabee Yuino', 'Denki Kaminarimon', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Shino Aburame', 'Konohamaru Sarutobi', 'Mirai Sarutobi', 'Enko Onikuma', 'Dōshu Goetsu', 'Tsuru Itoi', 'Hōki Taketori', 'Hako Kuroi', 'Renga Kokubō']"
39,The Path Lit by the Full Moon,,Boruto,"December 27, 2017","July 14, 2019",Canon,"['Mitsuki', 'Orochimaru', 'Suigetsu', 'Boruto Uzumaki', 'Sarada Uchiha']"
40,Team 7: The First Mission!,Genin Mission Arc,Boruto,"January 10, 2018","July 21, 2019",Filler,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Shikamaru Nara', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Kiri (villager)', 'Matsuba', 'Hidari', 'Ashimaru', 'Iori']"
41,Strength in Unity,Genin Mission Arc,Boruto,"January 17, 2018","July 28, 2019",Filler,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Naruto Uzumaki', 'Shikadai Nara', 'Iwabee Yuino', 'Denki Kaminarimon', 'Tofu', 'Kiri (villager)', 'Matsuba', 'Hidari', 'Ashimaru', 'Iori']"
42,A Ninja's Job,Genin Mission Arc,Boruto,"January 24, 2018","August 04, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Denki Kaminarimon', 'Haguruma', 'Kōtarō Fūma', 'Suika Kannonji', 'Kiba Inuzuka', 'Rock Lee']"
43,The Byakuya Gang Surfaces!,Byakuya Gang Arc,Boruto,"January 31, 2018","August 11, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Shikadai Nara', 'Shikamaru Nara', 'Temari Nara', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Katasuke Tōno', 'Ryōgi', 'Gekkō', 'Kōtarō Fūma']"
44,Shikadai's Doubts,Byakuya Gang Arc,Boruto,"February 07, 2018","August 18, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Temari Nara', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Udon Ise', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Katasuke Tōno', 'Kōtarō Fūma', 'Ryōgi', 'Gekkō', 'Oko']"
45,Memories from the Day of Snow,Byakuya Gang Arc,Boruto,"February 14, 2018","August 25, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Denki Kaminarimon', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Shikamaru Nara', 'Sai Yamanaka', 'Ryōgi', 'Gekkō', 'Oko', ""Denki's Father""]"
46,Go! The Crest of Night Strategy,Byakuya Gang Arc,Boruto,"February 21, 2018","September 01, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Moegi Kazamatsuri', 'Naruto Uzumaki', 'Shikamaru Nara', 'Sai Yamanaka', 'Kiba Inuzuka', 'Chōji Akimichi', 'Mirai Sarutobi', 'Kōtarō Fūma', 'Katasuke Tōno', 'Ryōgi', 'Gekkō', 'Oko', 'Denki Kaminarimon', 'Iwabee Yuino', 'Metal Lee', ""Denki's Father""]"
47,The Figure I Want to Be,Byakuya Gang Arc,Boruto,"February 28, 2018","September 08, 2019",Canon,"['Boruto Uzumaki', 'Shikadai Nara', 'Ryōgi', 'Gekkō', 'Katasuke Tōno']"
48,The Genin Documentary,,Boruto,"March 07, 2018","September 15, 2019",Filler,"['Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Udon Ise', 'Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Suika Kannonji']"
49,Wasabi and Namida,,Boruto,"March 14, 2018","September 22, 2019",Filler,"['Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Hanabi Hyūga', 'Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Sai Yamanaka', 'Suika Kannonji']"
50,The Chūnin Exams: The Recommendation Meeting,,Boruto,"March 21, 2018","October 06, 2019",Filler,"['Konohamaru Sarutobi', 'Moegi Kazamatsuri', 'Udon Ise', 'Shino Aburame', 'Hanabi Hyūga', 'Naruto Uzumaki', 'Shikamaru Nara']"
51,Boruto's Birthday,Versus Momoshiki Arc,Boruto,"March 28, 2018","October 13, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Shikamaru Nara', 'Sakura Uchiha', 'Katasuke Tōno', 'White Zetsu Army']"
52,Sasuke's Shadow,Versus Momoshiki Arc,Boruto,"April 04, 2018","October 20, 2019",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Naruto Uzumaki', 'Sasuke Uchiha', 'Katasuke Tōno', 'White Zetsu Army', 'Momoshiki Ōtsutsuki', 'Kinshiki Ōtsutsuki']"
53,Himawari's Birthday,Versus Momoshiki Arc,Boruto,"April 11, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Sasuke Uchiha', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Denki Kaminarimon', 'Shikamaru Nara', 'Moegi Kazamatsuri', 'Katasuke Tōno', 'Toneri Ōtsutsuki', 'Urashiki Ōtsutsuki']"
54,Sasuke and Boruto,Versus Momoshiki Arc,Boruto,"April 18, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Konohamaru Sarutobi', 'Sasuke Uchiha', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Shikamaru Nara', 'Shikadai Nara', 'Sakura Uchiha', 'Momoshiki Ōtsutsuki', 'Kinshiki Ōtsutsuki', 'Katasuke Tōno', 'Orochimaru']"
55,The Scientific Ninja Tool,Versus Momoshiki Arc,Boruto,"April 25, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Uchiha', 'Shikamaru Nara', 'Temari Nara', 'Konohamaru Sarutobi', 'Katasuke Tōno', 'Killer B', 'Gyūki', 'Gaara', 'Kankurō', 'Shukaku', 'Shinki', 'Araya', 'Momoshiki Ōtsutsuki', 'Kinshiki Ōtsutsuki', 'Urashiki Ōtsutsuki', 'Kakashi Hatake']"
56,"Rivals, Gather!",Versus Momoshiki Arc,Boruto,"May 03, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Shikamaru Nara', 'Sai Yamanaka', 'Tenten', 'Kankurō', 'Chōjūrō', 'Kurotsuchi', 'Darui', 'Shinki', 'Yodo', 'Araya', 'Yurui', 'Tarui', 'Toroi (Genin)', 'Three Senka Brothers', 'Sekki']"
57,The Reason I Can't Lose,Versus Momoshiki Arc,Boruto,"May 10, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Naruto Uzumaki', 'Sasuke Uchiha', 'Gaara', 'Chōjūrō', 'Shikamaru Nara', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Tenten', 'Shinki', 'Yurui', 'Three Senka Brothers', 'Katasuke Tōno', 'Kōsuke (Scientist)', 'Urashiki Ōtsutsuki']"
58,The Tournament Begins!,Versus Momoshiki Arc,Boruto,"May 17, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Himawari Uzumaki', 'Shikamaru Nara', 'Temari Nara', 'Sakura Uchiha', 'Ino Yamanaka', 'Shinki', 'Yodo', 'Rock Lee', 'Gaara', 'Chōjūrō', 'Kurotsuchi', 'Darui', 'Yurui', 'Tarui', 'Toroi (Genin)']"
59,Boruto vs. Shikadai,Versus Momoshiki Arc,Boruto,"May 24, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Temari Nara', 'Sakura Uchiha', 'Ino Yamanaka', 'Himawari Uzumaki', 'Shinki', 'Chōji Akimichi', 'Karui Akimichi', 'Gaara', 'Kurotsuchi', 'Konohamaru Sarutobi', 'Moegi Kazamatsuri', 'Rock Lee', 'Katasuke Tōno']"
60,The Hidden Leaf vs. The Hidden Sand,Versus Momoshiki Arc,Boruto,"May 31, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shinki', 'Araya', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Moegi Kazamatsuri', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Uchiha', 'Shikamaru Nara', 'Gaara', 'Rock Lee']"
61,The Iron Sand User: Shinki,Versus Momoshiki Arc,Boruto,"June 07, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shinki', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Gaara', 'Chōjūrō', 'Kurotsuchi', 'Darui', 'Sakura Uchiha', 'Rock Lee', 'Katasuke Tōno', 'Momoshiki Ōtsutsuki']"
62,The Ōtsutsuki Invasion,Versus Momoshiki Arc,Boruto,"June 14, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Naruto Uzumaki', 'Sasuke Uchiha', 'Shikamaru Nara', 'Kakashi Hatake', 'Kurama', 'Gaara', 'Shinki', 'Chōjūrō', 'Katasuke Tōno', 'Momoshiki Ōtsutsuki', 'Kinshiki Ōtsutsuki', 'Urashiki Ōtsutsuki', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee']"
63,Sasuke's Secret Weapon,Versus Momoshiki Arc,Boruto,"June 28, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Sarada Uchiha', 'Sasuke Uchiha', 'Sakura Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Gaara', 'Chōjūrō', 'Kurotsuchi', 'Darui', 'Kakashi Hatake']"
64,Rescuing Naruto!,Versus Momoshiki Arc,Boruto,"July 05, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Naruto Uzumaki', 'Sasuke Uchiha', 'Momoshiki Ōtsutsuki', 'Kinshiki Ōtsutsuki', 'Gaara', 'Chōjūrō', 'Kurotsuchi', 'Darui', 'Sarada Uchiha', 'Mitsuki', 'Shikamaru Nara', 'Shikadai Nara']"
65,Father and Child,Versus Momoshiki Arc,Boruto,"July 19, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Naruto Uzumaki', 'Sasuke Uchiha', 'Kurama', 'Gaara', 'Chōjūrō', 'Kurotsuchi', 'Darui', 'Momoshiki Ōtsutsuki', 'Katasuke Tōno', 'Kōsuke (Scientist)']"
66,My Story!,Versus Momoshiki Arc,Boruto,"July 26, 2018","April 21, 2020",Canon,"['Boruto Uzumaki', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Sarada Uchiha', 'Sasuke Uchiha', 'Sakura Uchiha', 'Mitsuki', 'Orochimaru', 'Shikamaru Nara', 'Shikadai Nara', 'Inojin Yamanaka', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Gaara', 'Kankurō', 'Shinki', 'Yodo', 'Araya', 'Urashiki Ōtsutsuki']"
67,Super Chōchō Butterfly Mode!,Chōchō Arc,Boruto,"August 02, 2018","July 14, 2020",Filler,"['Chōchō Akimichi', 'Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Mitsuki', 'Konohamaru Sarutobi', 'Moegi Kazamatsuri', 'Naruto Uzumaki', 'Chōji Akimichi', 'Karui Akimichi', 'Orochimaru', 'Tomaru', 'Ashina']"
68,Super Chōchō Kiss Mode!,Chōchō Arc,Boruto,"August 09, 2018","July 14, 2020",Filler,"['Chōchō Akimichi', 'Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Mitsuki', 'Konohamaru Sarutobi', 'Moegi Kazamatsuri', 'Tomaru', 'Ashina']"
69,Super Chōchō Love Upheaval!,Chōchō Arc,Boruto,"August 16, 2018","July 14, 2020",Filler,"['Chōchō Akimichi', 'Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Mitsuki', 'Konohamaru Sarutobi', 'Moegi Kazamatsuri', 'Tomaru', 'Ashina', 'Orochimaru']"
70,The Other Side of Anxiety,,Boruto,"August 23, 2018","July 14, 2020",Canon,"['Metal Lee', 'Rock Lee', 'Might Guy', 'Boruto Uzumaki', 'Sarada Uchiha', 'Iwabee Yuino', 'Denki Kaminarimon', 'Shino Aburame', 'Suika Kannonji']"
71,The Hardest Rock in the World,Mitsuki's Disappearance Arc,Boruto,"August 30, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Ōnoki', 'Naruto Uzumaki', 'Shikamaru Nara', 'Gaara', 'Kurotsuchi', 'Chōjūrō', 'Darui', 'Kakashi Hatake', 'A (Fourth Raikage)', 'Mei Terumī', 'Uō', 'Saō', 'Orochimaru']"
72,Mitsuki's Will,Mitsuki's Disappearance Arc,Boruto,"September 06, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Sai Yamanaka', 'Ino Yamanaka', 'Konohamaru Sarutobi', 'Kōtarō Fūma', 'Kakashi Hatake', 'Tsunade', 'Homura Mitokado', 'Koharu Utatane', 'Uō', 'Saō']"
73,The Other Side of the Moon,Mitsuki's Disappearance Arc,Boruto,"September 13, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Kakashi Hatake', 'Tsunade', 'Homura Mitokado', 'Koharu Utatane', 'Yamato', 'Konohamaru Sarutobi', 'Moegi Kazamatsuri', 'Udon Ise', 'Mitsuki', 'Orochimaru', 'Suigetsu Hōzuki', 'Karin', 'Kokuyō']"
74,"The Enemy, Ino–Shika–Chō!",Mitsuki's Disappearance Arc,Boruto,"September 20, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Moegi Kazamatsuri', 'Shikamaru Nara', 'Temari Nara', 'Suigetsu Hōzuki']"
75,The Trials of Ryūchi Cave,Mitsuki's Disappearance Arc,Boruto,"September 20, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Tagitsuhime', 'Tagorihime', 'Ichikishimahime', 'White Snake Sage']"
76,Incurring Wrath,Mitsuki's Disappearance Arc,Boruto,"October 07, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Aoda', 'Garaga', 'Naruto Uzumaki', 'Hinata Uzumaki', 'Shikamaru Nara', 'Sakura Uchiha', 'Tsunade', 'Moegi Kazamatsuri', 'Yurito', 'Uō', 'White Snake Sage', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno']"
77,A Fierce Enemy: Garaga's Ferocious Attack!,Mitsuki's Disappearance Arc,Boruto,"October 14, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Aoda', 'Garaga', 'Sakura Uchiha', 'Moegi Kazamatsuri', 'Yurito', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Udon Ise', 'Mitsuki', 'Kokuyō', 'Sekiei', 'Kirara', 'Uō', 'White Snake Sage']"
78,Everyone's Motives,Mitsuki's Disappearance Arc,Boruto,"October 21, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Sakura Uchiha', 'Sai Yamanaka', 'Kurotsuchi', 'Kontsuchi', 'Uō', 'Hiruzen Sarutobi', 'Konohamaru Sarutobi', 'Mirai Sarutobi', 'Mitsuki', 'Kū', 'Kokuyō', 'Sekiei', 'Kakō', 'Kirara', 'Iwa Doctor', 'Orochimaru']"
79,Reunion with Mitsuki,Mitsuki's Disappearance Arc,Boruto,"October 28, 2018","July 14, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Mitsuki', 'Kokuyō', 'Sekiei', 'Garaga']"
80,Mitsuki's Friend,Mitsuki's Disappearance Arc,Boruto,"November 04, 2018","October 13, 2020",Canon,"['Mitsuki', 'Boruto Uzumaki', 'Kū', 'Kokuyō', 'Sekiei', 'Kakō', 'Kirara', 'Akuta', 'Kurotsuchi', 'Akatsuchi', 'Kontsuchi', 'Uō', 'Saō']"
81,Boruto's Wish,Mitsuki's Disappearance Arc,Boruto,"November 11, 2018","October 13, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Garaga']"
82,Infiltrating the Hidden Stone Village,Mitsuki's Disappearance Arc,Boruto,"November 18, 2018","October 13, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Sai Yamanaka', 'Konohamaru Sarutobi', 'Ōnoki', 'Kū', 'Akatsuchi']"
83,Ōnoki's Justice,Mitsuki's Disappearance Arc,Boruto,"November 25, 2018","October 13, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Chōchō Akimichi', 'Mitsuki', 'Ōnoki', 'Naruto Uzumaki', 'Shikamaru Nara', 'Konohamaru Sarutobi', 'Kurotsuchi', 'Akatsuchi', 'Kontsuchi', 'Kū', 'Kokuyō', 'Sekiei', 'Kakō', 'Kirara', 'Iwa Doctor']"
84,"Ōnoki's Thoughts, Kū's Thoughts",Mitsuki's Disappearance Arc,Boruto,"December 02, 2018","October 13, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Mitsuki', 'Kū', 'Ōnoki', 'Kokuyō', 'Sekiei', 'Kakō', 'Kirara', 'Akuta']"
85,The Heart Stone,Mitsuki's Disappearance Arc,Boruto,"December 09, 2018","October 13, 2020",Canon,"['Boruto Uzumaki', 'Shikadai Nara', 'Konohamaru Sarutobi', 'Ōnoki', 'Mitsuki', 'Kū', 'Sekiei', 'Iwa Doctor', 'Akatsuchi', 'Sekki', 'Ishikawa', 'Ōnoki']"
86,Kozuchi's Will,Mitsuki's Disappearance Arc,Boruto,"December 16, 2018","October 13, 2020",Canon,"['Boruto Uzumaki', 'Shikadai Nara', 'Ōnoki', 'Kū', 'Kokuyō', 'Sekiei', 'Kakō', 'Kirara', 'Kurotsuchi', 'Akatsuchi', 'Kontsuchi', 'Iwa Doctor']"
87,The Sensation of Living,Mitsuki's Disappearance Arc,Boruto,"December 23, 2018","October 13, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Kakashi Hatake', 'Tsunade', 'Akatsuchi', 'Ōnoki', 'Kū', 'Kakō', 'Kirara']"
88,Clash: Kokuyō!,Mitsuki's Disappearance Arc,Boruto,"January 06, 2019","October 13, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Mitsuki', 'Konohamaru Sarutobi', 'Akatsuchi', 'Kontsuchi', 'Iwa Doctor', 'Ōnoki', 'Kū', 'Kokuyō', 'Sekiei', 'Kirara']"
89,A Piercing Heart,Mitsuki's Disappearance Arc,Boruto,"January 13, 2019","October 13, 2020",Canon,"['Boruto Uzumaki', 'Mitsuki', 'Sarada Uchiha', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Konohamaru Sarutobi', 'Kurotsuchi', 'Akatsuchi', 'Kontsuchi', 'Sekki', 'Ōnoki', 'Kū', 'Sekiei', 'Kirara', 'Iwa Doctor']"
90,Mitsuki and Sekiei,Mitsuki's Disappearance Arc,Boruto,"January 20, 2019","October 13, 2020",Canon,"['Boruto Uzumaki', 'Mitsuki', 'Sarada Uchiha', 'Sekiei', 'Kirara', 'Kurotsuchi', 'Kontsuchi', 'Sekki', 'Garaga', 'Ōnoki', 'Kū', 'Iwa Doctor', 'Akuta']"
91,Ōnoki's Will,Mitsuki's Disappearance Arc,Boruto,"January 27, 2019","October 13, 2020",Canon,"['Boruto Uzumaki', 'Mitsuki', 'Sarada Uchiha', 'Ōnoki', 'Kū', 'Shikadai Nara', 'Iwabee Yuino', 'Denki Kaminarimon', 'Metal Lee', 'Sumire Kakei', 'Wasabi Izuno', 'Namida Suzumeno', 'Naruto Uzumaki', 'Shikamaru Nara', 'Sai Yamanaka', 'Konohamaru Sarutobi', 'Kurotsuchi', 'Ishikawa', 'Ōnoki', 'Sekki']"
92,A New Ordinary,Mitsuki's Disappearance Arc,Boruto,"February 03, 2019","October 13, 2020",Canon,"['Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Shikadai Nara', 'Inojin Yamanaka', 'Chōchō Akimichi', 'Naruto Uzumaki', 'Shikamaru Nara', 'Sai Yamanaka', 'Konohamaru Sarutobi', 'Hinata Uzumaki', 'Himawari Uzumaki', 'Sakura Uchiha', 'Orochimaru', 'Kurotsuchi', 'Gaara', 'Chōjūrō', 'Darui', 'Akatsuchi', 'Sekki', 'Garaga', 'Uō', 'Saō']"
93,Parent and Child Day (episode),Parent and Child Day Arc,Boruto,"February 10, 2019","January 12, 2021",Mixed,"['Naruto Uzumaki', 'Himawari Uzumaki', 'Boruto Uzumaki', 'Hinata Uzumaki', 'Kurama', 'Shikamaru Nara', 'Kiba Inuzuka', 'Ino Yamanaka', 'Tenten', 'Shino Aburame']"
94,A Heaping Helping! The Eating Contest!,Parent and Child Day Arc,Boruto,"February 17, 2019","January 12, 2021",Mixed,"['Chōchō Akimichi', 'Chōji Akimichi', 'Karui Akimichi', 'Boruto Uzumaki', 'Shino Aburame', 'Shikadai Nara', 'Shikamaru Nara', 'Inojin Yamanaka', 'Sai Yamanaka', 'Metal Lee', 'Rock Lee', 'Ayame', 'Kūi Dōtonbori', 'Daore Dōtonbori', 'Ankorodō Shop Owner']"
95,Tactics for Getting Along With Your Daughter,Parent and Child Day Arc,Boruto,"February 24, 2019","January 12, 2021",Mixed,"['Sarada Uchiha', 'Sasuke Uchiha', 'Sakura Uchiha', 'Kakashi Hatake', 'Boruto Uzumaki', 'Naruto Uzumaki', 'Himawari Uzumaki', 'Shino Aburame', 'Fugaku Uchiha', 'Itachi Uchiha']"
96,"Blood, Sweat, and Namida",,Boruto,"March 03, 2019","January 12, 2021",Filler,"['Namida Suzumeno', 'Sumire Kakei', 'Wasabi Izuno', 'Hanabi Hyūga', 'Nue', 'Boruto Uzumaki', 'Sarada Uchiha', 'Mitsuki', 'Garakuta Gang Leader']"
